"gutenberg_id","text"
767,"Agnes Grey"
767,"A NOVEL,"
767,""
767,"by ACTON BELL."
767,""
767,"LONDON:"
767,"THOMAS CAUTLEY NEWBY, PUBLISHER,"
767,"72, MORTIMER ST., CAVENDISH SQ."
767,""
767,"1847."
767,""
767,"[Illustration: Birthplace of Charlotte, Emily and Anne Brontë,"
767,"Thornton]"
767,""
767,""
767,"Contents"
767,""
767," I. THE PARSONAGE"
767," II. FIRST LESSONS IN THE ART OF INSTRUCTION"
767," III. A FEW MORE LESSONS"
767," IV. THE GRANDMAMMA"
767," V. THE UNCLE"
767," VI. THE PARSONAGE AGAIN"
767," VII. HORTON LODGE"
767," VIII. THE “COMING OUT”"
767," IX. THE BALL"
767," X. THE CHURCH"
767," XI. THE COTTAGERS"
767," XII. THE SHOWER"
767," XIII. THE PRIMROSES"
767," XIV. THE RECTOR"
767," XV. THE WALK"
767," XVI. THE SUBSTITUTION"
767," XVII. CONFESSIONS"
767," XVIII. MIRTH AND MOURNING"
767," XIX. THE LETTER"
767," XX. THE FAREWELL"
767," XXI. THE SCHOOL"
767," XXII. THE VISIT"
767," XXIII. THE PARK"
767," XXIV. THE SANDS"
767," XXV. CONCLUSION"
767,""
767,""
767,""
767,""
767,"CHAPTER I."
767,"THE PARSONAGE"
767,""
767,""
767,"All true histories contain instruction; though, in some, the treasure"
767,"may be hard to find, and when found, so trivial in quantity, that the"
767,"dry, shrivelled kernel scarcely compensates for the trouble of cracking"
767,"the nut. Whether this be the case with my history or not, I am hardly"
767,"competent to judge. I sometimes think it might prove useful to some,"
767,"and entertaining to others; but the world may judge for itself."
767,"Shielded by my own obscurity, and by the lapse of years, and a few"
767,"fictitious names, I do not fear to venture; and will candidly lay"
767,"before the public what I would not disclose to the most intimate"
767,"friend."
767,""
767,"My father was a clergyman of the north of England, who was deservedly"
767,"respected by all who knew him; and, in his younger days, lived pretty"
767,"comfortably on the joint income of a small incumbency and a snug little"
767,"property of his own. My mother, who married him against the wishes of"
767,"her friends, was a squire’s daughter, and a woman of spirit. In vain it"
767,"was represented to her, that if she became the poor parson’s wife, she"
767,"must relinquish her carriage and her lady’s-maid, and all the luxuries"
767,"and elegancies of affluence; which to her were little less than the"
767,"necessaries of life. A carriage and a lady’s-maid were great"
767,"conveniences; but, thank heaven, she had feet to carry her, and hands"
767,"to minister to her own necessities. An elegant house and spacious"
767,"grounds were not to be despised; but she would rather live in a cottage"
767,"with Richard Grey than in a palace with any other man in the world."
767,""
767,"Finding arguments of no avail, her father, at length, told the lovers"
767,"they might marry if they pleased; but, in so doing, his daughter would"
767,"forfeit every fraction of her fortune. He expected this would cool the"
767,"ardour of both; but he was mistaken. My father knew too well my"
767,"mother’s superior worth not to be sensible that she was a valuable"
767,"fortune in herself: and if she would but consent to embellish his"
767,"humble hearth he should be happy to take her on any terms; while she,"
767,"on her part, would rather labour with her own hands than be divided"
767,"from the man she loved, whose happiness it would be her joy to make,"
767,"and who was already one with her in heart and soul. So her fortune went"
767,"to swell the purse of a wiser sister, who had married a rich nabob; and"
767,"she, to the wonder and compassionate regret of all who knew her, went"
767,"to bury herself in the homely village parsonage among the hills of ——."
767,"And yet, in spite of all this, and in spite of my mother’s high spirit"
767,"and my father’s whims, I believe you might search all England through,"
767,"and fail to find a happier couple."
767,""
767,"Of six children, my sister Mary and myself were the only two that"
767,"survived the perils of infancy and early childhood. I, being the"
767,"younger by five or six years, was always regarded as _the_ child, and"
767,"the pet of the family: father, mother, and sister, all combined to"
767,"spoil me—not by foolish indulgence, to render me fractious and"
767,"ungovernable, but by ceaseless kindness, to make me too helpless and"
767,"dependent—too unfit for buffeting with the cares and turmoils of life."
767,""
767,"Mary and I were brought up in the strictest seclusion. My mother, being"
767,"at once highly accomplished, well informed, and fond of employment,"
767,"took the whole charge of our education on herself, with the exception"
767,"of Latin—which my father undertook to teach us—so that we never even"
767,"went to school; and, as there was no society in the neighbourhood, our"
767,"only intercourse with the world consisted in a stately tea-party, now"
767,"and then, with the principal farmers and tradespeople of the vicinity"
767,"(just to avoid being stigmatized as too proud to consort with our"
767,"neighbours), and an annual visit to our paternal grandfather’s; where"
767,"himself, our kind grandmamma, a maiden aunt, and two or three elderly"
767,"ladies and gentlemen, were the only persons we ever saw. Sometimes our"
767,"mother would amuse us with stories and anecdotes of her younger days,"
767,"which, while they entertained us amazingly, frequently awoke—in _me_,"
767,"at least—a secret wish to see a little more of the world."
767,""
767,"I thought she must have been very happy: but she never seemed to regret"
767,"past times. My father, however, whose temper was neither tranquil nor"
767,"cheerful by nature, often unduly vexed himself with thinking of the"
767,"sacrifices his dear wife had made for him; and troubled his head with"
767,"revolving endless schemes for the augmentation of his little fortune,"
767,"for her sake and ours. In vain my mother assured him she was quite"
767,"satisfied; and if he would but lay by a little for the children, we"
767,"should all have plenty, both for time present and to come: but saving"
767,"was not my father’s forte. He would not run in debt (at least, my"
767,"mother took good care he should not), but while he had money he must"
767,"spend it: he liked to see his house comfortable, and his wife and"
767,"daughters well clothed, and well attended; and besides, he was"
767,"charitably disposed, and liked to give to the poor, according to his"
767,"means: or, as some might think, beyond them."
767,""
767,"At length, however, a kind friend suggested to him a means of doubling"
767,"his private property at one stroke; and further increasing it,"
767,"hereafter, to an untold amount. This friend was a merchant, a man of"
767,"enterprising spirit and undoubted talent, who was somewhat straitened"
767,"in his mercantile pursuits for want of capital; but generously proposed"
767,"to give my father a fair share of his profits, if he would only entrust"
767,"him with what he could spare; and he thought he might safely promise"
767,"that whatever sum the latter chose to put into his hands, it should"
767,"bring him in cent. per cent. The small patrimony was speedily sold, and"
767,"the whole of its price was deposited in the hands of the friendly"
767,"merchant; who as promptly proceeded to ship his cargo, and prepare for"
767,"his voyage."
767,""
767,"My father was delighted, so were we all, with our brightening"
767,"prospects. For the present, it is true, we were reduced to the narrow"
767,"income of the curacy; but my father seemed to think there was no"
767,"necessity for scrupulously restricting our expenditure to that; so,"
767,"with a standing bill at Mr. Jackson’s, another at Smith’s, and a third"
767,"at Hobson’s, we got along even more comfortably than before: though my"
767,"mother affirmed we had better keep within bounds, for our prospects of"
767,"wealth were but precarious, after all; and if my father would only"
767,"trust everything to her management, he should never feel himself"
767,"stinted: but he, for once, was incorrigible."
767,""
767,"What happy hours Mary and I have passed while sitting at our work by"
767,"the fire, or wandering on the heath-clad hills, or idling under the"
767,"weeping birch (the only considerable tree in the garden), talking of"
767,"future happiness to ourselves and our parents, of what we would do, and"
767,"see, and possess; with no firmer foundation for our goodly"
767,"superstructure than the riches that were expected to flow in upon us"
767,"from the success of the worthy merchant’s speculations. Our father was"
767,"nearly as bad as ourselves; only that he affected not to be so much in"
767,"earnest: expressing his bright hopes and sanguine expectations in jests"
767,"and playful sallies, that always struck me as being exceedingly witty"
767,"and pleasant. Our mother laughed with delight to see him so hopeful and"
767,"happy: but still she feared he was setting his heart too much upon the"
767,"matter; and once I heard her whisper as she left the room, “God grant"
767,"he be not disappointed! I know not how he would bear it.”"
767,""
767,"Disappointed he was; and bitterly, too. It came like a thunder-clap on"
767,"us all, that the vessel which contained our fortune had been wrecked,"
767,"and gone to the bottom with all its stores, together with several of"
767,"the crew, and the unfortunate merchant himself. I was grieved for him;"
767,"I was grieved for the overthrow of all our air-built castles: but, with"
767,"the elasticity of youth, I soon recovered the shock."
767,""
767,"Though riches had charms, poverty had no terrors for an inexperienced"
767,"girl like me. Indeed, to say the truth, there was something"
767,"exhilarating in the idea of being driven to straits, and thrown upon"
767,"our own resources. I only wished papa, mamma, and Mary were all of the"
767,"same mind as myself; and then, instead of lamenting past calamities we"
767,"might all cheerfully set to work to remedy them; and the greater the"
767,"difficulties, the harder our present privations, the greater should be"
767,"our cheerfulness to endure the latter, and our vigour to contend"
767,"against the former."
767,""
767,"Mary did not lament, but she brooded continually over the misfortune,"
767,"and sank into a state of dejection from which no effort of mine could"
767,"rouse her. I could not possibly bring her to regard the matter on its"
767,"bright side as I did: and indeed I was so fearful of being charged with"
767,"childish frivolity, or stupid insensibility, that I carefully kept most"
767,"of my bright ideas and cheering notions to myself; well knowing they"
767,"could not be appreciated."
767,""
767,"My mother thought only of consoling my father, and paying our debts and"
767,"retrenching our expenditure by every available means; but my father was"
767,"completely overwhelmed by the calamity: health, strength, and spirits"
767,"sank beneath the blow, and he never wholly recovered them. In vain my"
767,"mother strove to cheer him, by appealing to his piety, to his courage,"
767,"to his affection for herself and us. That very affection was his"
767,"greatest torment: it was for our sakes he had so ardently longed to"
767,"increase his fortune—it was our interest that had lent such brightness"
767,"to his hopes, and that imparted such bitterness to his present"
767,"distress. He now tormented himself with remorse at having neglected my"
767,"mother’s advice; which would at least have saved him from the"
767,"additional burden of debt—he vainly reproached himself for having"
767,"brought her from the dignity, the ease, the luxury of her former"
767,"station to toil with him through the cares and toils of poverty. It was"
767,"gall and wormwood to his soul to see that splendid, highly-accomplished"
767,"woman, once so courted and admired, transformed into an active managing"
767,"housewife, with hands and head continually occupied with household"
767,"labours and household economy. The very willingness with which she"
767,"performed these duties, the cheerfulness with which she bore her"
767,"reverses, and the kindness which withheld her from imputing the"
767,"smallest blame to him, were all perverted by this ingenious"
767,"self-tormentor into further aggravations of his sufferings. And thus"
767,"the mind preyed upon the body, and disordered the system of the nerves,"
767,"and they in turn increased the troubles of the mind, till by action and"
767,"reaction his health was seriously impaired; and not one of us could"
767,"convince him that the aspect of our affairs was not half so gloomy, so"
767,"utterly hopeless, as his morbid imagination represented it to be."
767,""
767,"The useful pony phaeton was sold, together with the stout, well-fed"
767,"pony—the old favourite that we had fully determined should end its days"
767,"in peace, and never pass from our hands; the little coach-house and"
767,"stable were let; the servant boy, and the more efficient (being the"
767,"more expensive) of the two maid-servants, were dismissed. Our clothes"
767,"were mended, turned, and darned to the utmost verge of decency; our"
767,"food, always plain, was now simplified to an unprecedented"
767,"degree—except my father’s favourite dishes; our coals and candles were"
